location,name,price,url
"Newark, NJ",Newly Renovated Apartment Units For Rent,$1200,http://newyork.craigslist.org/jsy/nfb/5570742966.html
Jersey City,"2 Bdrm For Lease. 2 bedroom one bath apartment next to Kennedy Blvd, near Bayonn",$1000,http://newyork.craigslist.org/jsy/abo/5565615209.html
"Irvington, NJ",Renovated Apartment Units For Rent,$1200,http://newyork.craigslist.org/jsy/nfb/5570715760.html
Jersey City,2 Bedroom - $1900 per month - Beautiful Shared Backyard!,$1900,http://newyork.craigslist.org/jsy/abo/5570659843.html
"Linden, NJ","HEAT, HOT WATER & COOKING GAS INCLUDED! (LC)",$1635,http://newyork.craigslist.org/jsy/abo/5540938466.html
"Linden, NJ","HEAT, HOT WATER & COOKING GAS INCLUDED! (LC)",$1410,http://newyork.craigslist.org/jsy/abo/5555971497.html
Springfield,"Why Pay High Rent in the City? ENJOY LIFE in Springfield, NJ! (SHCV)",$1825,http://newyork.craigslist.org/jsy/abo/5551854836.html
Springfield,"Why Pay High Rent in the City? ENJOY LIFE in Springfield, NJ! (SHCV)",$1880,http://newyork.craigslist.org/jsy/abo/5555924926.html
Jersey City/Bergen Lafayette,Beautiful 3bed/2bath Apt. Literail to Exchange Pl,$1675,http://newyork.craigslist.org/jsy/abo/5550960774.html
Jersey City Heights,Amazing Location In The Heights And Mins Fr NYC with WTC View,$1599,http://newyork.craigslist.org/jsy/abo/5563940858.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1449,http://newyork.craigslist.org/jsy/abo/5570183339.html
Jersey City,This is brand new construction at journal square,$1525,http://newyork.craigslist.org/jsy/abo/5570213479.html
"Newark, NJ",50 inch TV/WIFI/PARKING/LARGE APARTMENT FOR RENT,$1300,http://newyork.craigslist.org/jsy/abo/5523735334.html
"Jersey City, NJ/20 mins to NYC",No Fees*Perfect 4 a commuter!! 20 mins to NYC~ALL UTILITIES INCLUDED!!,$1375,http://newyork.craigslist.org/jsy/abo/5533652694.html
"Jersey City, NJ",$1350 1BD/1BTH 3 blocks to JSQ PATH,$1350,http://newyork.craigslist.org/jsy/abo/5570236958.html
Plainfield,3 bedroom Renovated Apt. Utilities Incld,$1650,http://newyork.craigslist.org/jsy/abo/5570045330.html
West New York,(Last one left) You can have it all!,$1850,http://newyork.craigslist.org/jsy/abo/5565239624.html
900 Crest Lane,AVAILABLE ASAP! 1BDR W/ LOFT! ONLY $1980! WILL NOT LAST! CALL NOW!,$1980,http://newyork.craigslist.org/jsy/abo/5569969299.html
